project,subject_id,run_name,target_id,function_name,mutant_id,mutant_hash,build_status,test_status,killed,stored_killed,executable,target_test_count,executed_test_count,failing_test_count,error_test_count,skipped_test_count,not_run_test_count,test_results_source,log_path,test_name,eligible,executed,outcome,duration_ms,failure_type,message,worker_id,execution_index
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,11
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,12
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testExcelFormat1,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,13
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testExcelFormat2,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,14
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testForEach,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,15
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testGetLine,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,16
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCR,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,17
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithCRLF,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,18
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testGetLineNumberWithLF,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,19
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testGetRecords,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,20
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testHeader,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,21
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testIgnoreEmptyLines,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,22
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testIterator,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,23
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testLineFeedEndings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,24
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVParserTest::testProvidedHeader,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,25
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testDisabledComment,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,26
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testExcelPrinter1,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,27
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testExcelPrinter2,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,28
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testMultiLineComment,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,29
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrintNullValues,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,30
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter1,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,31
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter2,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,32
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter3,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,33
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter4,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,34
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter5,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,35
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter6,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,36
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testPrinter7,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,37
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testRandom,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,38
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m01,cd9ae4ade8e375b73c9b8c708806f142f6b9197fe500b0be5ae3be43ae27f344,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m01.log,org.apache.commons.csv.CSVPrinterTest::testSingleLineComment,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,1,39
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVFormatTest::testFormat,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,1
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVFormatTest::testValidation,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,2
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testBackslashEscaping,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,3
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testBackslashEscaping2,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,4
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testCarriageReturnEndings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,5
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testCarriageReturnLineFeedEndings,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,6
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testDefaultFormat,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,7
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testEmptyFile,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,8
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourCSV,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,9
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testEmptyLineBehaviourExcel,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,10
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviorCSV,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,11
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testEndOfFileBehaviourExcel,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,12
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testExcelFormat1,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,13
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testExcelFormat2,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,14
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testForEach,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,15
Csv,Csv_1,batch01__Csv_1__validate__csv_1f_validate_line175,csv_1f_validate__line175_195,validate,m02,124f217f00d045a43cbb335c9d6eff5af20aa19050327d4be7c0e3a4c98e37c5,SUCCESS,FAIL,True,True,True,39,39,39,0,0,0,test_results.csv,harness/executions/runs/batch01__Csv_1__validate__csv_1f_validate_line175/execution/m02.log,org.apache.commons.csv.CSVParserTest::testGetLine,True,True,FAIL,,TEST_FAILURE,Observed in defects4j failing-tests list,2,16
